Model,Dataset,Atlas,Task,Seed,Accuracy,F1,AUC,AP,BAC,Sensitivity,Specificity,Precision,MCC,Kappa
gru,ADHD200,cc400,DX,1,0.5328467153284672,0.4074074074074074,0.5460947503201025,0.5754504575230794,0.5412932138284251,0.3098591549295774,0.7727272727272727,0.5945945945945946,0.0929413466643563,0.0811150702158876
gru,ADHD200,cc400,DX,42,0.5401459854014599,0.4220183486238532,0.5533504054630816,0.5602397241093494,0.5483354673495519,0.323943661971831,0.7727272727272727,0.6052631578947368,0.1078916076201858,0.094998427178358
gru,ADHD200,cc400,DX,123,0.5547445255474452,0.4403669724770642,0.546521553563807,0.5587843732240623,0.5629534784464362,0.3380281690140845,0.7878787878787878,0.631578947368421,0.1405210783574164,0.1237286358393625
gru,ADHD200,cc400,DX,456,0.5474452554744526,0.4464285714285714,0.5827998292787024,0.5908735044354709,0.5548442168160478,0.352112676056338,0.7575757575757576,0.6097560975609756,0.119683541574034,0.1079605124973744
gru,ADHD200,cc400,DX,789,0.5401459854014599,0.4,0.5813060179257362,0.5808491339427152,0.5494024754588135,0.2957746478873239,0.803030303030303,0.6176470588235294,0.1142935646694968,0.0968923302291514
BrainNetCNN,ADHD200,ho,DX,1,0.5255474452554745,0.2352941176470588,0.6148100725565514,0.6487486092406142,0.5401195049082373,0.1408450704225352,0.9393939393939394,0.7142857142857143,0.1323640750685549,0.0778709744226986
BrainNetCNN,ADHD200,cc200,DX,1,0.5766423357664233,0.5671641791044776,0.6231327358087921,0.6861658712517097,0.5782116944088775,0.5352112676056338,0.6212121212121212,0.6031746031746031,0.1568255061620136,0.1557586060348491
BrainNetCNN,ADHD200,ho,DX,42,0.5401459854014599,0.3225806451612903,0.569355527102006,0.6088938770976406,0.5526034997865984,0.2112676056338028,0.8939393939393939,0.6818181818181818,0.1431810413035509,0.1025267755017157
BrainNetCNN,ADHD200,cc200,DX,42,0.5547445255474452,0.4958677685950413,0.5943235168587282,0.5851568924146284,0.5597524541186514,0.4225352112676056,0.696969696969697,0.6,0.1240344303450016,0.1181808589215995
BrainNetCNN,ADHD200,ho,DX,123,0.5328467153284672,0.2888888888888888,0.6116090482287665,0.6326921067909619,0.5460947503201025,0.1830985915492957,0.9090909090909092,0.6842105263157895,0.1332799436835864,0.0897009966777407
BrainNetCNN,ADHD200,cc200,DX,123,0.5766423357664233,0.5396825396825397,0.586427656850192,0.6296284563975614,0.5803457106274007,0.4788732394366197,0.6818181818181818,0.6181818181818182,0.163796856639501,0.1593313584426576
BrainNetCNN,ADHD200,ho,DX,456,0.5547445255474452,0.396039603960396,0.5789586000853607,0.6245986165120121,0.5650874946649594,0.2816901408450704,0.8484848484848485,0.6666666666666666,0.157280969186683,0.1273885350318472
BrainNetCNN,ADHD200,cc200,DX,456,0.5474452554744526,0.5507246376811594,0.5763977806231326,0.5788076186932726,0.5479086641058472,0.5352112676056338,0.5606060606060606,0.5671641791044776,0.0957764592278724,0.0956132879045996
BrainNetCNN,ADHD200,ho,DX,789,0.5693430656934306,0.4485981308411215,0.5932565087494664,0.6350034191724911,0.5781049935979514,0.3380281690140845,0.8181818181818182,0.6666666666666666,0.1773364464628171,0.1533466010265005
BrainNetCNN,ADHD200,cc200,DX,789,0.5328467153284672,0.5223880597014925,0.5322236448997012,0.5594677505611697,0.5343576611182246,0.4929577464788732,0.5757575757575758,0.5555555555555556,0.0688919686005025,0.0684232894177645
graphtransformer,ADHD200,ho,DX,1,0.5036496350364964,0.1904761904761904,0.6306017925736236,0.653613773292498,0.5184592402902262,0.1126760563380281,0.9242424242424242,0.6153846153846154,0.0629451745589721,0.0358103912233492
graphtransformer,ADHD200,cc200,DX,1,0.5620437956204379,0.4444444444444444,0.614596670934699,0.6263539174473088,0.5705292360221937,0.3380281690140845,0.803030303030303,0.6486486486486487,0.1587447807367946,0.1385453783273946
graphtransformer,ADHD200,ho,DX,42,0.5255474452554745,0.1772151898734177,0.6293213828425096,0.6418483123877763,0.5417200170721298,0.0985915492957746,0.9848484848484848,0.875,0.1778016416941997,0.0807267471869516
graphtransformer,ADHD200,cc200,DX,42,0.5474452554744526,0.3541666666666667,0.65962441314554,0.6700025939325078,0.5591122492530943,0.2394366197183098,0.8787878787878788,0.68,0.1529430007883755,0.1153926265361382
graphtransformer,ADHD200,ho,DX,123,0.5620437956204379,0.3333333333333333,0.6384976525821597,0.6908445320726652,0.5753307725138711,0.2112676056338028,0.9393939393939394,0.7894736842105263,0.2178139820384536,0.146594684385382
graphtransformer,ADHD200,cc200,DX,123,0.583941605839416,0.4571428571428571,0.675416133162612,0.6597932427802929,0.5932565087494666,0.3380281690140845,0.8484848484848485,0.7058823529411765,0.2157507030694173,0.1829025844930418
graphtransformer,ADHD200,ho,DX,456,0.5620437956204379,0.4117647058823529,0.6139564660691422,0.6322137091179505,0.5721297481860862,0.2957746478873239,0.8484848484848485,0.6774193548387096,0.1722708411506993,0.141245298788132
graphtransformer,ADHD200,cc200,DX,456,0.5474452554744526,0.4259259259259259,0.6037131882202305,0.630192400093488,0.5559112249253094,0.323943661971831,0.7878787878787878,0.6216216216216216,0.1258430637005755,0.1098302242716411
graphtransformer,ADHD200,ho,DX,789,0.5328467153284672,0.2,0.6237729406743491,0.6664337319210472,0.5487622705932566,0.1126760563380281,0.9848484848484848,0.8888888888888888,0.1966929610826004,0.094401983061351
graphtransformer,ADHD200,cc200,DX,789,0.5474452554744526,0.392156862745098,0.6263337601365769,0.6335386447597657,0.5575117370892019,0.2816901408450704,0.8333333333333334,0.6451612903225806,0.1373579635802174,0.1126201420810697
bnt,ADHD200,ho,DX,1,0.5255474452554745,0.5454545454545454,0.5407597097737942,0.5569828580951747,0.5246478873239437,0.5492957746478874,0.5,0.5416666666666666,0.0493273643817592,0.0493220881819151
bnt,ADHD200,cc200,DX,1,0.5620437956204379,0.4230769230769231,0.5687153222364489,0.5936646572035795,0.5715962441314554,0.3098591549295774,0.8333333333333334,0.6666666666666666,0.1673199547469776,0.1403472076971345
bnt,ADHD200,ho,DX,42,0.5693430656934306,0.5354330708661418,0.5736235595390524,0.5984735343269723,0.5727699530516431,0.4788732394366197,0.6666666666666666,0.6071428571428571,0.1479267478958508,0.1443844606753466
bnt,ADHD200,cc200,DX,42,0.5182481751824818,0.4677419354838709,0.5362782757148954,0.580590894586485,0.5224071702944942,0.4084507042253521,0.6363636363636364,0.5471698113207547,0.0459769941388802,0.0443880786303106
bnt,ADHD200,ho,DX,123,0.5036496350364964,0.4769230769230769,0.5349978659837815,0.5530811571981462,0.5061886470337175,0.4366197183098591,0.5757575757575758,0.5254237288135594,0.0124897442144078,0.0122985581000848
bnt,ADHD200,cc200,DX,123,0.583941605839416,0.5210084033613446,0.5791720017072131,0.612511286391568,0.5895219803670508,0.4366197183098591,0.7424242424242424,0.6458333333333334,0.1875189647437186,0.1768736165278801
